,A01_02,B05_06,B07_08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31T33,D,E,F,G,H49,H51,H52,I,J58T60,J61,J62_63,K,L,M,N
A01_02,0.070793661138917,1.5827008684807233e-05,7.5509310297959744e-06,0.0003532777279933,0.1837630883445674,0.0257274655657477,0.2705416781041266,0.0001590574013691,4.410344315580717e-06,0.0015086846703037,0.005994315031314,0.0162202487068232,0.0,3.995289763647069e-05,8.59124981206641e-06,0.000151486546525,3.956279514744334e-05,0.0,1.821159828401215e-05,0.0027728786517177,2.074615010728723e-05,0.0003789744950164,0.0011101872987558,0.0036013138978428,1.6669941119386546e-05,0.0,1.553168852751827e-05,5.983802107859334e-05,1.0790163686783129e-05,0.0,3.6292371343543586e-05,2.8601869132147785e-05,6.987597712819516e-06,2.4291655330560848e-06,1.8270246173296937e-06
B05_06,0.0,0.0348436871865592,0.0,0.0153115737230302,0.0,0.0,0.0,0.0,0.4494523087417434,0.2058300117936962,0.129499384225671,0.0,3.430666235382911e-05,0.0147846749095802,0.0,0.0,9.710867899827002e-05,0.0,0.0,0.0042386117345148,0.0734176614939599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B07_08,0.0018804955613787,0.0002236883894119,0.0323783922557651,0.0058850899565726,0.0004625499992552,0.0002076437322128,0.0,0.0029976202565718,0.0002528597407599,0.0143892828232194,0.0001050610229441,0.0004552859799345,0.1169367091089089,0.0966649844393977,0.000133164372087,3.2784401859893035e-05,0.0004136110401778,0.0002188111987571,0.0002447183519414,0.0014609274005584,0.0082036204995672,0.0031644370333876,0.0136064458587171,5.276154846576632e-05,0.0001238338483154,0.0,0.0001786144180664,0.0005047206995324,0.0,0.0,0.0,1.7876168207592366e-06,1.3975195425639034e-06,9.71666213222434e-06,9.135123086648468e-06
B09,3.8338339681523414e-06,0.0142569694232743,0.0009514173097542,0.0132694561246294,8.274597482205478e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1304966158583806e-06,3.5966177406766675e-06,0.0,0.0,0.0,2.9637357296124624e-06,3.789744950164854e-05,0.0005254644676573,1.3528602170709314e-06,1.190710079956182e-06,0.0,0.0,5.203306180747247e-06,0.0,0.0,0.0,3.575233641518473e-06,6.987597712819517e-07,0.0,0.0
C10T12,0.0498647615067734,7.807990951171568e-05,0.0003548937584004,0.000310195078238,0.0831406731219559,0.0135171998224849,0.0002516241193155,0.0035482035690033,2.7932180665344545e-05,0.0032655723024961,0.0103426740365028,0.001206782115489,0.0008821713176698,0.0005467238623938,0.0005068837389119,0.0004126312647883,0.0005970385449523,0.0004102709976696,0.0003505732669672,0.0006679898311763,0.0003111922516093,0.0008716413385379,0.0003422472827319,0.003433559230926,0.0001321688188751,0.0006146790075298,0.000256272860704,0.0589352474562337,0.0014027212792818,9.991362306135342e-05,0.0028670973361399,0.0013800401856261,0.0001327643565435,0.0005902872245326,0.0006887882807332
C13T15,0.0008798648956909,1.2661606947845786e-05,0.0005436670341453,0.0002843454883849,0.0006561755803388,0.1385920126377675,0.0022188672339646,0.0142295198301756,0.000220517215779,0.0004347607437004,0.0002334689398759,0.0069115702978009,0.0006861332470765,0.0004436874421734,0.0008075774823342,0.0023729123966867,0.0010502123802775,0.0008643042350907,0.0108802917498045,0.0148495581175181,0.0004564153023603,0.0014211543563118,0.0004510891747668,0.0012148684749296,0.0005393916662201,0.0002955187536201,0.0050866279927622,0.0030699506466408,0.0015106229161496,0.0001837121456289,0.0010161863976192,0.0001966378502835,0.0001467395519692,0.0011174161452057,0.0013465171429719
C16,0.0006728378614107,0.0001255609355661,0.0001434676895661,0.0076170124767353,0.001170855543732,0.0005985025222606,0.0656281453014914,0.0024898600906627,0.0001543620510453,0.0002222470965931,0.0005194683912239,0.0009215427063734,0.0028180472647788,0.0005677517032551,0.0020661955798019,0.0014798200701586,0.0009423138480572,0.0014660350316729,0.0007216345820039,0.0478742064617203,8.891207188837386e-06,7.579489900329708e-05,0.0062783631388792,0.0017911869274019,2.381420159912364e-06,0.0002482357530408,0.0002407411721765,2.6016530903736236e-05,0.0001186918005546,0.0008669924065646,7.258474268708717e-05,3.217710277366626e-05,1.6770234510766838e-05,4.129581406195344e-05,7.125396007585805e-05
C17_18,0.0015642042590061,1.4771874772486749e-05,0.0004606067928175,0.0002412628386296,0.0054074494546212,0.008594821935321,0.0010293713972001,0.1909361751589044,0.0001117287226613,0.0042713620826986,0.0076169241634516,0.0066976407409642,0.0143744915262543,0.0008390108503658,0.0042268949075366,0.0066834959929547,0.0058552936818216,0.0018106626697154,0.0029514171469027,0.0082609677682892,0.0003200834587981,0.0014780005305642,0.0008308264425329,0.0047733417992319,0.0005036703638214,0.0003664432544889,0.0036887760252855,0.0037099573068727,0.0062798752657077,0.0003738703314553,0.0006895550555273,0.0113656677463872,0.0033764072148343,0.0070542967079948,0.0161892651341584
C19,0.0123756160491957,0.0056935025908813,0.0582629838259057,0.0046184600537671,0.0104913621476883,0.006363669675465,0.0190090584682953,0.0162238549396499,0.1907767939443032,0.0104780583714965,0.004681052244512,0.005880320126383,0.056900049989708,0.0135166961056438,0.0084323116905431,0.0018483619669284,0.0037656587744884,0.0049670142117873,0.0013726992206574,0.0109425384574721,0.0689839128424596,0.0197445711903588,0.0140823267977808,0.0038669254537944,0.1212940637148963,0.2482121115405983,0.0047604625336843,0.009839451987793,0.0045534490758224,0.005840112418941,0.0005806779414966,0.0004719308406804,0.0111962278152507,0.0076858797465894,0.0049731610083714
C20,0.0362009772442784,0.0211396079333408,0.019836295815274,0.0156907010408768,0.0127470174213375,0.0395215236978498,0.0194665568670509,0.0417097447128708,0.0046881960074623,0.1825897789046949,0.1143589234747182,0.2057014969583605,0.0528420619284265,0.023917066195643,0.0148327928005326,0.0082356678465283,0.0142749758127456,0.0063509950439263,0.0108336245292017,0.0307275322341136,0.0753381622467487,0.0792814643574487,0.0096572992093845,0.002849574570557,0.0024040436514315,0.0006737827582538,0.0172091108884902,0.0087545626491072,0.0129589865878265,0.0016372942101666,0.0006895550555273,0.0021111754653166,0.0030451950832467,0.0035344358505966,0.0048891178759742
